,DataName,StaticPartner,Material,NominalLoad,H.pressure,MaxLinSpeed,CycleID,SequenceID,SequenceName,Omit,Loaded,CoF.mean,CoF.SMA.mean,CoF.sd,CoF.SMA.sd,NominalLoad.label,MaxLinSpeed.label,H.pressure.label
12676,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,13,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.12563442,1.927097734,0.796711037,0.286858713,10 mN,10 mm/s,0.62 KPa
12677,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,14,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.930119742,1.925472974,0.976315307,0.44945253,10 mN,10 mm/s,0.62 KPa
12678,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,15,1,"Seq.ID: 01
10mN
0.62KPa",N,N,1.936013425,1.949728926,1.07354374,0.482061954,10 mN,10 mm/s,0.62 KPa
12679,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,16,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.090424376,2.110791942,0.75787104,0.333845038,10 mN,10 mm/s,0.62 KPa
12680,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,17,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.054423707,2.176923859,0.66428663,0.243176693,10 mN,10 mm/s,0.62 KPa
12681,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,18,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.243863353,2.082571285,0.810823731,0.229287953,10 mN,10 mm/s,0.62 KPa
12682,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,19,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.122417381,2.08260649,0.921867273,0.372953498,10 mN,10 mm/s,0.62 KPa
12683,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,20,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.40820813,2.384257159,0.80298096,0.290631282,10 mN,10 mm/s,0.62 KPa
12684,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,21,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.369327204,2.399853572,0.752956843,0.304668555,10 mN,10 mm/s,0.62 KPa
12685,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,22,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.326517076,2.336793867,0.740193495,0.283775419,10 mN,10 mm/s,0.62 KPa
12686,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,23,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.270572299,2.292334016,0.758910114,0.300606086,10 mN,10 mm/s,0.62 KPa
12687,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,24,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.371322742,2.364797011,0.68216494,0.224654753,10 mN,10 mm/s,0.62 KPa
12688,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,25,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.460032747,2.410963603,0.731935082,0.232047975,10 mN,10 mm/s,0.62 KPa
12689,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,26,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.4554646,2.457960901,0.72639405,0.27184993,10 mN,10 mm/s,0.62 KPa
12690,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,27,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.440357554,2.451332649,0.703204767,0.273119015,10 mN,10 mm/s,0.62 KPa
12691,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,28,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.430733595,2.431842781,0.687504464,0.262184725,10 mN,10 mm/s,0.62 KPa
12692,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,29,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.436044565,2.446810192,0.695790995,0.245806212,10 mN,10 mm/s,0.62 KPa
12693,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,30,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.440181529,2.435057335,0.686302749,0.239793952,10 mN,10 mm/s,0.62 KPa
12694,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,31,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.465313044,2.448147213,0.693851722,0.233748097,10 mN,10 mm/s,0.62 KPa
12695,Nanotribometer DragonSkin10,P,DragonSkin10,10,0.62,10,32,1,"Seq.ID: 01
10mN
0.62KPa",N,N,2.137938243,2.466745862,0.427355199,0.276998055,10 mN,10 mm/s,0.62 KPa
12696,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,2,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.711295312,2.324147904,0.755943292,0.124373167,20 mN,10 mm/s,1.25 KPa
12697,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,3,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.301690072,2.230946764,0.762412787,0.337598324,20 mN,10 mm/s,1.25 KPa
12698,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,4,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.363972728,2.344588021,0.768158186,0.394632483,20 mN,10 mm/s,1.25 KPa
12699,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,5,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.394380604,2.387260856,0.754908389,0.398044151,20 mN,10 mm/s,1.25 KPa
12700,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,6,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.429171498,2.422100135,0.748740843,0.393912529,20 mN,10 mm/s,1.25 KPa
12701,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,7,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.445170416,2.446993434,0.747875257,0.390926395,20 mN,10 mm/s,1.25 KPa
12702,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,8,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.444773995,2.441349533,0.764554037,0.394855635,20 mN,10 mm/s,1.25 KPa
12703,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,9,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.46811151,2.464132235,0.753313005,0.389902914,20 mN,10 mm/s,1.25 KPa
12704,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,10,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.490196766,2.482464514,0.767716194,0.388060763,20 mN,10 mm/s,1.25 KPa
12705,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,11,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.526999684,2.521500198,0.757211172,0.383060908,20 mN,10 mm/s,1.25 KPa
12706,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,12,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.547442387,2.551178513,0.723312445,0.372071603,20 mN,10 mm/s,1.25 KPa
12707,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,13,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.551314032,2.551207871,0.714527932,0.368581728,20 mN,10 mm/s,1.25 KPa
12708,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,14,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.589684224,2.586396121,0.695077811,0.358685819,20 mN,10 mm/s,1.25 KPa
12709,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,15,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.616050004,2.604413709,0.710425352,0.366147659,20 mN,10 mm/s,1.25 KPa
12710,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,16,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.638147609,2.638701735,0.698715462,0.364666092,20 mN,10 mm/s,1.25 KPa
12711,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,17,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.666070907,2.660240102,0.697649127,0.360454044,20 mN,10 mm/s,1.25 KPa
12712,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,18,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.658685248,2.663580383,0.715355644,0.365760458,20 mN,10 mm/s,1.25 KPa
12713,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,19,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.686142205,2.674270461,0.72468648,0.369497616,20 mN,10 mm/s,1.25 KPa
12714,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,20,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.700556319,2.692436669,0.728897477,0.379004098,20 mN,10 mm/s,1.25 KPa
12715,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,21,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.708755655,2.701779742,0.739304661,0.383323827,20 mN,10 mm/s,1.25 KPa
12716,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,22,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.715476476,2.714177085,0.735268619,0.382178079,20 mN,10 mm/s,1.25 KPa
12717,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,23,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.732050027,2.727356627,0.732807653,0.379854839,20 mN,10 mm/s,1.25 KPa
12718,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,24,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.750667516,2.747584801,0.728225358,0.380294678,20 mN,10 mm/s,1.25 KPa
12719,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,25,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.775614348,2.767457555,0.732668323,0.383479481,20 mN,10 mm/s,1.25 KPa
12720,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,26,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.791643392,2.782795599,0.729218931,0.386317867,20 mN,10 mm/s,1.25 KPa
12721,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,27,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.782070959,2.781981308,0.731847285,0.387277715,20 mN,10 mm/s,1.25 KPa
12722,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,28,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.793445202,2.788452357,0.736185976,0.388809358,20 mN,10 mm/s,1.25 KPa
12723,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,29,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.798497171,2.79756388,0.724277967,0.388809798,20 mN,10 mm/s,1.25 KPa
12724,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,30,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.710540974,2.728489615,0.734868255,0.402018699,20 mN,10 mm/s,1.25 KPa
12725,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,31,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.528057651,2.563115036,0.730917034,0.422467866,20 mN,10 mm/s,1.25 KPa
12726,Nanotribometer DragonSkin10,P,DragonSkin10,20,1.25,10,32,2,"Seq.ID: 02
20mN
1.25KPa",N,N,2.448368286,2.606795631,0.615526314,0.332647644,20 mN,10 mm/s,1.25 KPa
12727,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,2,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.618183979,2.627776708,0.716432743,0.126332887,30 mN,10 mm/s,1.88 KPa
12728,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,3,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.372689556,2.351405177,0.533019437,0.296178033,30 mN,10 mm/s,1.88 KPa
12729,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,4,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.429569206,2.416698368,0.518225422,0.286647363,30 mN,10 mm/s,1.88 KPa
12730,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,5,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.46480367,2.455960642,0.513363245,0.286467563,30 mN,10 mm/s,1.88 KPa
12731,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,6,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.504545618,2.497166579,0.508426171,0.280148608,30 mN,10 mm/s,1.88 KPa
12732,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,7,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.535336134,2.527429244,0.514035756,0.281242448,30 mN,10 mm/s,1.88 KPa
12733,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,8,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.573433488,2.562312137,0.512592241,0.280965415,30 mN,10 mm/s,1.88 KPa
12734,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,9,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.609727173,2.602627659,0.495245963,0.274629019,30 mN,10 mm/s,1.88 KPa
12735,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,10,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.639730417,2.631197233,0.492581552,0.272988411,30 mN,10 mm/s,1.88 KPa
12736,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,11,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.652139185,2.643509121,0.496412393,0.278532839,30 mN,10 mm/s,1.88 KPa
12737,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,12,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.660091251,2.656418332,0.494240444,0.280630373,30 mN,10 mm/s,1.88 KPa
12738,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,13,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.668799106,2.666358047,0.490758114,0.278189667,30 mN,10 mm/s,1.88 KPa
12739,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,14,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.681149824,2.679070555,0.491775971,0.277340231,30 mN,10 mm/s,1.88 KPa
12740,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,15,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.70047231,2.696994866,0.488135146,0.273328526,30 mN,10 mm/s,1.88 KPa
12741,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,16,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.726829666,2.723030044,0.477332498,0.26416515,30 mN,10 mm/s,1.88 KPa
12742,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,17,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.738778899,2.737093801,0.481628426,0.263127739,30 mN,10 mm/s,1.88 KPa
12743,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,18,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.755741629,2.754212311,0.473000594,0.261948807,30 mN,10 mm/s,1.88 KPa
12744,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,19,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.774837826,2.771216379,0.468576685,0.259183241,30 mN,10 mm/s,1.88 KPa
12745,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,20,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.768948764,2.771235799,0.463478535,0.261167739,30 mN,10 mm/s,1.88 KPa
12746,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,21,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.784090906,2.778145847,0.469635177,0.258638967,30 mN,10 mm/s,1.88 KPa
12747,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,22,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.813660853,2.807863099,0.460934127,0.256782089,30 mN,10 mm/s,1.88 KPa
12748,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,23,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.822076709,2.819921503,0.457428957,0.258445657,30 mN,10 mm/s,1.88 KPa
12749,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,24,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.814170653,2.817610031,0.457496859,0.261138697,30 mN,10 mm/s,1.88 KPa
12750,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,25,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.822732967,2.815920006,0.467134929,0.262264561,30 mN,10 mm/s,1.88 KPa
12751,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,26,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.798399364,2.795949253,0.493212604,0.281948799,30 mN,10 mm/s,1.88 KPa
12752,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,27,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.776319873,2.783260997,0.471572215,0.276862701,30 mN,10 mm/s,1.88 KPa
12753,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,28,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.825779866,2.818643449,0.458735584,0.258729132,30 mN,10 mm/s,1.88 KPa
12754,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,29,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.797314158,2.794268994,0.492551644,0.284531336,30 mN,10 mm/s,1.88 KPa
12755,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,30,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.786113679,2.792180902,0.467722833,0.273349246,30 mN,10 mm/s,1.88 KPa
12756,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,31,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.77810053,2.79151807,0.405537477,0.24400067,30 mN,10 mm/s,1.88 KPa
12757,Nanotribometer DragonSkin10,P,DragonSkin10,30,1.88,10,32,3,"Seq.ID: 03
30mN
1.88KPa",N,N,2.574972021,2.754533762,0.27615761,0.238862415,30 mN,10 mm/s,1.88 KPa
12758,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,2,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.499592229,2.590493618,0.601701211,0.04875025,40 mN,10 mm/s,2.5 KPa
12759,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,3,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.423913575,2.399977221,0.30749083,0.161263374,40 mN,10 mm/s,2.5 KPa
12760,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,4,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.531387811,2.511722,0.273150538,0.137244479,40 mN,10 mm/s,2.5 KPa
12761,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,5,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.597087752,2.574191186,0.274751581,0.1392962,40 mN,10 mm/s,2.5 KPa
12762,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,6,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.620284895,2.612868764,0.277744957,0.142425119,40 mN,10 mm/s,2.5 KPa
12763,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,7,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.629250068,2.625451211,0.274603889,0.149483004,40 mN,10 mm/s,2.5 KPa
12764,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,8,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.654364977,2.651546033,0.257632896,0.139598253,40 mN,10 mm/s,2.5 KPa
12765,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,9,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.686769557,2.694578905,0.229968351,0.11759857,40 mN,10 mm/s,2.5 KPa
12766,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,10,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.701918325,2.701370859,0.234819016,0.111324824,40 mN,10 mm/s,2.5 KPa
12767,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,11,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.732825444,2.71819704,0.247559443,0.111179972,40 mN,10 mm/s,2.5 KPa
12768,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,12,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.74341322,2.737749771,0.252966403,0.111921655,40 mN,10 mm/s,2.5 KPa
12769,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,13,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.757227097,2.75688412,0.26041415,0.114967851,40 mN,10 mm/s,2.5 KPa
12770,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,14,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.772076722,2.774819958,0.241592763,0.097919517,40 mN,10 mm/s,2.5 KPa
12771,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,15,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.798126043,2.790374369,0.237415692,0.097510955,40 mN,10 mm/s,2.5 KPa
12772,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,16,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.779739813,2.77639891,0.25657147,0.11305814,40 mN,10 mm/s,2.5 KPa
12773,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,17,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.787741504,2.78695528,0.257469761,0.105214569,40 mN,10 mm/s,2.5 KPa
12774,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,18,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.813169535,2.816649875,0.238650671,0.097388897,40 mN,10 mm/s,2.5 KPa
12775,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,19,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.818463352,2.817398389,0.253787195,0.099631144,40 mN,10 mm/s,2.5 KPa
12776,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,20,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.837241185,2.821756946,0.26634574,0.104597433,40 mN,10 mm/s,2.5 KPa
12777,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,21,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.842487969,2.836457233,0.276405993,0.115089972,40 mN,10 mm/s,2.5 KPa
12778,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,22,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.824885732,2.832157998,0.262419986,0.119932737,40 mN,10 mm/s,2.5 KPa
12779,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,23,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.838996117,2.837764901,0.237676927,0.104811789,40 mN,10 mm/s,2.5 KPa
12780,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,24,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.854141105,2.856610587,0.23972579,0.097000386,40 mN,10 mm/s,2.5 KPa
12781,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,25,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.856838994,2.864484557,0.231202991,0.093420185,40 mN,10 mm/s,2.5 KPa
12782,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,26,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.881101544,2.865302796,0.237494563,0.094874356,40 mN,10 mm/s,2.5 KPa
12783,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,27,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.873697334,2.871403311,0.251965218,0.105632072,40 mN,10 mm/s,2.5 KPa
12784,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,28,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.887662304,2.886464935,0.226819568,0.097942611,40 mN,10 mm/s,2.5 KPa
12785,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,29,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.905811091,2.908739332,0.223927718,0.086886609,40 mN,10 mm/s,2.5 KPa
12786,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,30,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.884402215,2.898038441,0.210046119,0.087441578,40 mN,10 mm/s,2.5 KPa
12787,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,31,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.898952281,2.884443576,0.22830721,0.088754755,40 mN,10 mm/s,2.5 KPa
12788,Nanotribometer DragonSkin10,P,DragonSkin10,40,2.5,10,32,4,"Seq.ID: 04
40mN
2.5KPa",N,N,2.712884909,2.839125594,0.150361503,0.110483997,40 mN,10 mm/s,2.5 KPa
12789,Nanotribometer DragonSkin10,P,DragonSkin10,50,3.12,10,1,5,"Seq.ID: 05
50mN
3.12KPa",N,N,2.488868656,2.726898219,0.073038191,0.009929421,50 mN,10 mm/s,3.12 KPa
